IdealFile	NumberOfCities	NumberOfUniqueSolutions	SampleRate	NumberOfDiscoveredSolutions	FracOfSolutionsDiscovered
smooth-psmap-tsp-10-R-instance0.ser	10	18	8.0E-4	5	0.2777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	9.0E-4	7	0.3888888888888889
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0010	8	0.4444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0020	9	0.5
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0030	10	0.5555555555555556
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0040	10	0.5555555555555556
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0050	9	0.5
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0060	12	0.6666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0070	10	0.5555555555555556
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0080	13	0.7222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0090	13	0.7222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.01	12	0.6666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.02	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.03	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.04	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.05	17	0.9444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.06	16	0.8888888888888888
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.07	17	0.9444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.08	18	1.0
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.09	17	0.9444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.1	16	0.8888888888888888
smooth-psmap-tsp-10-R-instance0.ser	10	18	1.0E-4	1	0.05555555555555555
smooth-psmap-tsp-10-R-instance0.ser	10	18	2.0E-4	2	0.1111111111111111
smooth-psmap-tsp-10-R-instance0.ser	10	18	3.0E-4	3	0.16666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	4.0E-4	3	0.16666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	5.0E-4	5	0.2777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	6.0E-4	2	0.1111111111111111
smooth-psmap-tsp-10-R-instance0.ser	10	18	7.0E-4	4	0.2222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	8.0E-4	4	0.2222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	9.0E-4	3	0.16666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0010	5	0.2777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0020	8	0.4444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0030	7	0.3888888888888889
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0040	9	0.5
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0050	10	0.5555555555555556
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0060	11	0.6111111111111112
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0070	10	0.5555555555555556
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0080	10	0.5555555555555556
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0090	13	0.7222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.01	10	0.5555555555555556
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.02	13	0.7222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.03	16	0.8888888888888888
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.04	16	0.8888888888888888
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.05	17	0.9444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.06	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.07	17	0.9444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.08	17	0.9444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.09	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.1	17	0.9444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	1.0E-4	1	0.05555555555555555
smooth-psmap-tsp-10-R-instance0.ser	10	18	2.0E-4	2	0.1111111111111111
smooth-psmap-tsp-10-R-instance0.ser	10	18	3.0E-4	3	0.16666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	4.0E-4	3	0.16666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	5.0E-4	4	0.2222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	6.0E-4	5	0.2777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	7.0E-4	5	0.2777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	8.0E-4	5	0.2777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	9.0E-4	6	0.3333333333333333
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0010	7	0.3888888888888889
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0020	7	0.3888888888888889
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0030	11	0.6111111111111112
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0040	10	0.5555555555555556
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0050	8	0.4444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0060	12	0.6666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0070	11	0.6111111111111112
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0080	12	0.6666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0090	13	0.7222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.01	14	0.7777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.02	14	0.7777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.03	14	0.7777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.04	16	0.8888888888888888
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.05	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.06	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.07	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.08	17	0.9444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.09	16	0.8888888888888888
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.1	18	1.0
smooth-psmap-tsp-10-R-instance0.ser	10	18	1.0E-4	1	0.05555555555555555
smooth-psmap-tsp-10-R-instance0.ser	10	18	2.0E-4	2	0.1111111111111111
smooth-psmap-tsp-10-R-instance0.ser	10	18	3.0E-4	1	0.05555555555555555
smooth-psmap-tsp-10-R-instance0.ser	10	18	4.0E-4	3	0.16666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	5.0E-4	3	0.16666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	6.0E-4	4	0.2222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	7.0E-4	5	0.2777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	8.0E-4	4	0.2222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	9.0E-4	5	0.2777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0010	4	0.2222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0020	8	0.4444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0030	8	0.4444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0040	8	0.4444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0050	11	0.6111111111111112
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0060	10	0.5555555555555556
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0070	11	0.6111111111111112
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0080	10	0.5555555555555556
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0090	13	0.7222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.01	13	0.7222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.02	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.03	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.04	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.05	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.06	17	0.9444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.07	16	0.8888888888888888
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.08	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.09	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.1	17	0.9444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	1.0E-4	1	0.05555555555555555
smooth-psmap-tsp-10-R-instance0.ser	10	18	2.0E-4	2	0.1111111111111111
smooth-psmap-tsp-10-R-instance0.ser	10	18	3.0E-4	3	0.16666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	4.0E-4	2	0.1111111111111111
smooth-psmap-tsp-10-R-instance0.ser	10	18	5.0E-4	3	0.16666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	6.0E-4	4	0.2222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	7.0E-4	5	0.2777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	8.0E-4	5	0.2777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	9.0E-4	3	0.16666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0010	4	0.2222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0020	7	0.3888888888888889
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0030	10	0.5555555555555556
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0040	10	0.5555555555555556
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0050	8	0.4444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0060	12	0.6666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0070	14	0.7777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0080	13	0.7222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0090	11	0.6111111111111112
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.01	11	0.6111111111111112
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.02	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.03	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.04	16	0.8888888888888888
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.05	17	0.9444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.06	17	0.9444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.07	17	0.9444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.08	17	0.9444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.09	16	0.8888888888888888
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.1	16	0.8888888888888888
smooth-psmap-tsp-10-R-instance0.ser	10	18	1.0E-4	1	0.05555555555555555
smooth-psmap-tsp-10-R-instance0.ser	10	18	2.0E-4	2	0.1111111111111111
smooth-psmap-tsp-10-R-instance0.ser	10	18	3.0E-4	3	0.16666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	4.0E-4	4	0.2222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	5.0E-4	4	0.2222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	6.0E-4	5	0.2777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	7.0E-4	5	0.2777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	8.0E-4	5	0.2777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	9.0E-4	5	0.2777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0010	4	0.2222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0020	7	0.3888888888888889
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0030	9	0.5
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0040	7	0.3888888888888889
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0050	10	0.5555555555555556
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0060	12	0.6666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0070	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0080	11	0.6111111111111112
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0090	9	0.5
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.01	12	0.6666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.02	14	0.7777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.03	16	0.8888888888888888
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.04	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.05	16	0.8888888888888888
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.06	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.07	17	0.9444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.08	18	1.0
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.09	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.1	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	1.0E-4	1	0.05555555555555555
smooth-psmap-tsp-10-R-instance0.ser	10	18	2.0E-4	2	0.1111111111111111
smooth-psmap-tsp-10-R-instance0.ser	10	18	3.0E-4	3	0.16666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	4.0E-4	3	0.16666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	5.0E-4	5	0.2777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	6.0E-4	3	0.16666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	7.0E-4	5	0.2777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	8.0E-4	6	0.3333333333333333
smooth-psmap-tsp-10-R-instance0.ser	10	18	9.0E-4	5	0.2777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0010	5	0.2777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0020	8	0.4444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0030	7	0.3888888888888889
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0040	7	0.3888888888888889
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0050	10	0.5555555555555556
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0060	13	0.7222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0070	13	0.7222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0080	13	0.7222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0090	10	0.5555555555555556
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.01	12	0.6666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.02	14	0.7777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.03	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.04	17	0.9444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.05	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.06	14	0.7777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.07	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.08	17	0.9444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.09	18	1.0
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.1	18	1.0
smooth-psmap-tsp-10-R-instance0.ser	10	18	1.0E-4	1	0.05555555555555555
smooth-psmap-tsp-10-R-instance0.ser	10	18	2.0E-4	2	0.1111111111111111
smooth-psmap-tsp-10-R-instance0.ser	10	18	3.0E-4	3	0.16666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	4.0E-4	2	0.1111111111111111
smooth-psmap-tsp-10-R-instance0.ser	10	18	5.0E-4	4	0.2222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	6.0E-4	4	0.2222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	7.0E-4	4	0.2222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	8.0E-4	3	0.16666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	9.0E-4	4	0.2222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0010	5	0.2777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0020	7	0.3888888888888889
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0030	9	0.5
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0040	10	0.5555555555555556
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0050	10	0.5555555555555556
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0060	11	0.6111111111111112
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0070	13	0.7222222222222222
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0080	10	0.5555555555555556
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.0090	14	0.7777777777777778
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.01	12	0.6666666666666666
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.02	16	0.8888888888888888
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.03	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.04	16	0.8888888888888888
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.05	16	0.8888888888888888
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.06	16	0.8888888888888888
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.07	15	0.8333333333333334
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.08	18	1.0
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.09	17	0.9444444444444444
smooth-psmap-tsp-10-R-instance0.ser	10	18	0.1	17	0.9444444444444444
smooth-psmap-tsp-10-R-instance1.ser	10	19	1.0E-4	1	0.05263157894736842
smooth-psmap-tsp-10-R-instance1.ser	10	19	2.0E-4	2	0.10526315789473684
smooth-psmap-tsp-10-R-instance1.ser	10	19	3.0E-4	3	0.15789473684210525
smooth-psmap-tsp-10-R-instance1.ser	10	19	4.0E-4	3	0.15789473684210525
